Place,Magnitude,Time,Latitude,Longitude
"1 km WNW of Kad?köy, Turkey",4.0,03/08/14|22:22:45,40.6243,29.2073
"13 km NW of Eceabat, Turkey",4.0,16/07/14|11:59:28,40.2592,26.2392
"13 km NE of Simav, Turkey",4.1,15/07/14|12:25:52,39.174,29.09
"28 km NNW of Eceabat, Turkey",4.4,09/07/14|23:45:02,40.4308,26.2658
"16 km SSW of Band?rma, Turkey",4.6,03/07/14|05:04:46,40.2083,27.9282
"9 km ESE of Yeni?akran, Turkey",4.0,29/06/14|01:15:19,38.857,27.172
"30 km W of Gökçeada, Turkey",3.8,30/05/14|04:06:20,40.17,25.55
"31 km NE of Gökçeada, Turkey",4.3,28/05/14|03:59:51,40.422,26.14
"27 km NNE of Gökçeada, Turkey",4.4,25/05/14|11:47:55,40.4103,26.0895
Western Turkey,4.9,25/05/14|11:38:38,40.4235,26.1442
"23 km N of Gökçeada, Turkey",4.1,24/05/14|23:00:36,40.4092,25.9353
"28 km NE of Gökçeada, Turkey",4.0,24/05/14|15:01:32,40.3795,26.1425
"22 km N of Gökçeada, Turkey",4.5,24/05/14|14:49:14,40.4013,25.9517
"22 km SSE of Samothráki, Greece",4.4,24/05/14|11:33:07,40.284,25.608
"31 km NE of Gökçeada, Turkey",4.1,24/05/14|10:35:00,40.4247,26.1357
"28 km NE of Gökçeada, Turkey",4.6,24/05/14|10:11:40,40.3892,26.1418
"8 km NNW of Durusu, Turkey",3.8,05/02/14|01:56:44,41.3725,28.6327
"6 km WSW of Geyikli, Turkey",4.1,13/01/14|10:51:26,39.7925,26.132
"17 km WNW of Bigadiç, Turkey",4.0,10/01/14|07:20:46,39.4595,27.9483
"13 km SSW of Marmara Ere?lisi, Turkey",4.0,27/11/13|04:21:35,40.8478,27.9123
"13 km SSW of Marmara Ere?lisi, Turkey",4.5,27/11/13|04:13:37,40.851,27.9198
